repo,method,k,precision,recall,f1,ndcg,n_relevant,n_retrieved
sartography/SpiffWorkflow,embedding_code,5,0.4,0.5,0.4444,0.4144,4,10
sartography/SpiffWorkflow,embedding_code,10,0.3,0.75,0.4286,0.5446,4,10
sartography/SpiffWorkflow,embedding_doc,5,0.6,0.75,0.6667,0.5143,4,10
sartography/SpiffWorkflow,embedding_doc,10,0.3,0.75,0.4286,0.5143,4,10
sartography/SpiffWorkflow,embedding_requirement,5,0.0,0.0,0.0,0.0,4,10
sartography/SpiffWorkflow,embedding_requirement,10,0.0,0.0,0.0,0.0,4,10
sartography/SpiffWorkflow,embedding_readme,5,0.0,0.0,0.0,0.0,4,10
sartography/SpiffWorkflow,embedding_readme,10,0.0,0.0,0.0,0.0,4,10
feature-engine/feature_engine,BM25,5,0.6,0.3,0.4,0.6844,10,10
feature-engine/feature_engine,BM25,10,0.6,0.6,0.6,0.6595,10,10
feature-engine/feature_engine,embedding,5,0.6,0.3,0.4,0.6164,10,10
feature-engine/feature_engine,embedding,10,0.5,0.5,0.5,0.5428,10,10
feature-engine/feature_engine,embedding_code,5,0.6,0.3,0.4,0.6844,10,10
feature-engine/feature_engine,embedding_code,10,0.4,0.4,0.4,0.5175,10,10
feature-engine/feature_engine,embedding_doc,5,0.8,0.4,0.5333,0.8688,10,10
feature-engine/feature_engine,embedding_doc,10,0.6,0.6,0.6,0.7034,10,10
feature-engine/feature_engine,embedding_requirement,5,0.0,0.0,0.0,0.0,10,10
feature-engine/feature_engine,embedding_requirement,10,0.1,0.1,0.1,0.0784,10,10
feature-engine/feature_engine,embedding_readme,5,0.2,0.1,0.1333,0.214,10,10
feature-engine/feature_engine,embedding_readme,10,0.2,0.2,0.2,0.2173,10,10
BeanieODM/beanie,BM25,5,0.6,0.3,0.4,0.6548,10,10
BeanieODM/beanie,BM25,10,0.3,0.3,0.3,0.4249,10,10
BeanieODM/beanie,embedding,5,0.2,0.1,0.1333,0.3392,10,10
BeanieODM/beanie,embedding,10,0.3,0.3,0.3,0.3679,10,10
BeanieODM/beanie,embedding_code,5,0.4,0.2,0.2667,0.5087,10,10
BeanieODM/beanie,embedding_code,10,0.3,0.3,0.3,0.4035,10,10
BeanieODM/beanie,embedding_doc,5,0.2,0.1,0.1333,0.1696,10,10
BeanieODM/beanie,embedding_doc,10,0.4,0.4,0.4,0.3241,10,10
BeanieODM/beanie,embedding_requirement,5,0.2,0.1,0.1333,0.3392,10,10
BeanieODM/beanie,embedding_requirement,10,0.1,0.1,0.1,0.2201,10,10
BeanieODM/beanie,embedding_readme,5,0.2,0.1,0.1333,0.214,10,10
BeanieODM/beanie,embedding_readme,10,0.2,0.2,0.2,0.2025,10,10
pypa/pip,BM25,5,0.0,0.0,0.0,0.0,4,10
pypa/pip,BM25,10,0.1,0.25,0.1429,0.1301,4,10
pypa/pip,embedding,5,0.4,0.5,0.4444,0.5856,4,10
pypa/pip,embedding,10,0.2,0.5,0.2857,0.5856,4,10
pypa/pip,embedding_code,5,0.6,0.75,0.6667,0.8319,4,10
pypa/pip,embedding_code,10,0.3,0.75,0.4286,0.8319,4,10
pypa/pip,embedding_doc,5,0.8,1.0,0.8889,0.9829,4,10
pypa/pip,embedding_doc,10,0.4,1.0,0.5714,0.9829,4,10
pypa/pip,embedding_requirement,5,0.0,0.0,0.0,0.0,4,10
pypa/pip,embedding_requirement,10,0.0,0.0,0.0,0.0,4,10
pypa/pip,embedding_readme,5,0.0,0.0,0.0,0.0,4,10
pypa/pip,embedding_readme,10,0.1,0.25,0.1429,0.1391,4,10
networkx/networkx,BM25,5,0.2,0.0526,0.0833,0.214,19,10
networkx/networkx,BM25,10,0.1,0.0526,0.069,0.1389,19,10
networkx/networkx,embedding,5,0.4,0.1053,0.1667,0.2773,19,10
networkx/networkx,embedding,10,0.3,0.1579,0.2069,0.2583,19,10
networkx/networkx,embedding_code,5,0.0,0.0,0.0,0.0,19,10
networkx/networkx,embedding_code,10,0.2,0.1053,0.1379,0.1357,19,10
networkx/networkx,embedding_doc,5,0.4,0.1053,0.1667,0.2773,19,10
networkx/networkx,embedding_doc,10,0.3,0.1579,0.2069,0.2533,19,10
networkx/networkx,embedding_requirement,5,0.4,0.1053,0.1667,0.3156,19,10
networkx/networkx,embedding_requirement,10,0.4,0.2105,0.2759,0.3566,19,10
networkx/networkx,embedding_readme,5,0.4,0.1053,0.1667,0.2773,19,10
networkx/networkx,embedding_readme,10,0.2,0.1053,0.1379,0.1799,19,10
joke2k/faker,BM25,5,0.6,0.1579,0.25,0.6844,19,10
joke2k/faker,BM25,10,0.3,0.1579,0.2069,0.4441,19,10
joke2k/faker,embedding,5,0.2,0.0526,0.0833,0.3392,19,10
joke2k/faker,embedding,10,0.3,0.1579,0.2069,0.3597,19,10
joke2k/faker,embedding_code,5,0.2,0.0526,0.0833,0.3392,19,10
joke2k/faker,embedding_code,10,0.2,0.1053,0.1379,0.2895,19,10
joke2k/faker,embedding_doc,5,0.2,0.0526,0.0833,0.3392,19,10
joke2k/faker,embedding_doc,10,0.1,0.0526,0.069,0.2201,19,10
joke2k/faker,embedding_requirement,5,0.2,0.0526,0.0833,0.214,19,10
joke2k/faker,embedding_requirement,10,0.2,0.1053,0.1379,0.2051,19,10
joke2k/faker,embedding_readme,5,0.4,0.1053,0.1667,0.5531,19,10
joke2k/faker,embedding_readme,10,0.2,0.1053,0.1379,0.359,19,10
sqids/sqids-python,BM25,5,0.6,0.2,0.3,0.7227,15,10
sqids/sqids-python,BM25,10,0.4,0.2667,0.32,0.5424,15,10
sqids/sqids-python,embedding,5,0.2,0.0667,0.1,0.3392,15,10
sqids/sqids-python,embedding,10,0.1,0.0667,0.08,0.2201,15,10
sqids/sqids-python,embedding_code,5,0.6,0.2,0.3,0.5296,15,10
sqids/sqids-python,embedding_code,10,0.4,0.2667,0.32,0.4131,15,10
sqids/sqids-python,embedding_doc,5,0.2,0.0667,0.1,0.3392,15,10
sqids/sqids-python,embedding_doc,10,0.1,0.0667,0.08,0.2201,15,10
sqids/sqids-python,embedding_requirement,5,0.0,0.0,0.0,0.0,15,10
sqids/sqids-python,embedding_requirement,10,0.1,0.0667,0.08,0.0784,15,10
sqids/sqids-python,embedding_readme,5,0.4,0.1333,0.2,0.4852,15,10
sqids/sqids-python,embedding_readme,10,0.3,0.2,0.24,0.3882,15,10
sanic-org/sanic,BM25,5,0.2,0.1111,0.1429,0.214,9,10
sanic-org/sanic,BM25,10,0.3,0.3333,0.3158,0.3104,9,10
sanic-org/sanic,embedding,5,0.2,0.1111,0.1429,0.214,9,10
sanic-org/sanic,embedding,10,0.1,0.1111,0.1053,0.1483,9,10
sanic-org/sanic,embedding_code,5,0.2,0.1111,0.1429,0.1696,9,10
sanic-org/sanic,embedding_code,10,0.2,0.2222,0.2105,0.1855,9,10
sanic-org/sanic,embedding_doc,5,0.2,0.1111,0.1429,0.3392,9,10
sanic-org/sanic,embedding_doc,10,0.1,0.1111,0.1053,0.235,9,10
sanic-org/sanic,embedding_requirement,5,0.0,0.0,0.0,0.0,9,10
sanic-org/sanic,embedding_requirement,10,0.0,0.0,0.0,0.0,9,10
sanic-org/sanic,embedding_readme,5,0.2,0.1111,0.1429,0.1312,9,10
sanic-org/sanic,embedding_readme,10,0.1,0.1111,0.1053,0.0909,9,10
Kludex/starlette,BM25,5,0.4,0.1333,0.2,0.3008,15,10
Kludex/starlette,BM25,10,0.2,0.1333,0.16,0.1952,15,10
Kludex/starlette,embedding,5,0.4,0.1333,0.2,0.3008,15,10
Kludex/starlette,embedding,10,0.3,0.2,0.24,0.2686,15,10
Kludex/starlette,embedding_code,5,0.4,0.1333,0.2,0.2773,15,10
Kludex/starlette,embedding_code,10,0.4,0.2667,0.32,0.3195,15,10
Kludex/starlette,embedding_doc,5,0.2,0.0667,0.1,0.1696,15,10
Kludex/starlette,embedding_doc,10,0.1,0.0667,0.08,0.11,15,10
Kludex/starlette,embedding_requirement,5,0.4,0.1333,0.2,0.3452,15,10
Kludex/starlette,embedding_requirement,10,0.2,0.1333,0.16,0.224,15,10
Kludex/starlette,embedding_readme,5,0.6,0.2,0.3,0.5296,15,10
Kludex/starlette,embedding_readme,10,0.4,0.2667,0.32,0.4131,15,10
scrapy/scrapy,BM25,5,0.0,0.0,0.0,0.0,8,10
scrapy/scrapy,BM25,10,0.0,0.0,0.0,0.0,8,10
scrapy/scrapy,embedding,5,0.2,0.125,0.1538,0.3392,8,10
scrapy/scrapy,embedding,10,0.1,0.125,0.1111,0.2529,8,10
scrapy/scrapy,embedding_code,5,0.2,0.125,0.1538,0.1461,8,10
scrapy/scrapy,embedding_code,10,0.1,0.125,0.1111,0.1089,8,10
scrapy/scrapy,embedding_doc,5,0.2,0.125,0.1538,0.1312,8,10
scrapy/scrapy,embedding_doc,10,0.1,0.125,0.1111,0.0979,8,10
scrapy/scrapy,embedding_requirement,5,0.0,0.0,0.0,0.0,8,10
scrapy/scrapy,embedding_requirement,10,0.0,0.0,0.0,0.0,8,10
scrapy/scrapy,embedding_readme,5,0.0,0.0,0.0,0.0,8,10
scrapy/scrapy,embedding_readme,10,0.0,0.0,0.0,0.0,8,10
benoitc/gunicorn,BM25,5,0.4,0.25,0.3077,0.5531,8,10
benoitc/gunicorn,BM25,10,0.3,0.375,0.3333,0.4923,8,10
benoitc/gunicorn,embedding,5,0.0,0.0,0.0,0.0,8,10
benoitc/gunicorn,embedding,10,0.1,0.125,0.1111,0.0761,8,10
benoitc/gunicorn,embedding_code,5,0.2,0.125,0.1538,0.1696,8,10
benoitc/gunicorn,embedding_code,10,0.2,0.25,0.2222,0.2108,8,10
benoitc/gunicorn,embedding_doc,5,0.2,0.125,0.1538,0.3392,8,10
benoitc/gunicorn,embedding_doc,10,0.1,0.125,0.1111,0.2529,8,10
benoitc/gunicorn,embedding_requirement,5,0.0,0.0,0.0,0.0,8,10
benoitc/gunicorn,embedding_requirement,10,0.0,0.0,0.0,0.0,8,10
benoitc/gunicorn,embedding_readme,5,0.0,0.0,0.0,0.0,8,10
benoitc/gunicorn,embedding_readme,10,0.0,0.0,0.0,0.0,8,10
